Process ID | Call Type | File Format | Count | Previous File | Current File
568 | dynamic | nls | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Packages\cr.sb.odm3E4D1A088C1F6D498C84F3C86DE73CE49F82A104\AC\F4EB2D6C-ED2B-4BDD-AD9D-F913287E6768.val | C:\Windows\Globalization\Sorting\SortDefault.nls
569 | dynamic | dll | 1 | C:\Windows\System32\AcLayers.dll | C:\Windows\System32\D3D12.dll
570 | dynamic | dll | 1 | C:\Windows\System32\D3D12.dll | C:\Windows\System32\D3D12Core.dll
571 | dynamic | dll | 1 | C:\Windows\System32\D3D12Core.dll | C:\Windows\System32\D3DCompiler_47.dll
572 | dynamic | dll | 1 | C:\Windows\System32\D3DCompiler_47.dll | C:\Windows\System32\D3DSCache.dll
573 | dynamic | dll | 1 | C:\Windows\System32\D3DSCache.dll | C:\Windows\System32\DWrite.dll
574 | dynamic | dll | 1 | C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_d0b39b11619fd0c4\igc64.dll | C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_d0b39b11619fd0c4\igd12um64kbl.dll
575 | dynamic | dll | 1 | C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_d0b39b11619fd0c4\igd12um64kbl.dll | C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_d0b39b11619fd0c4\igd12umd64.dll
576 | dynamic | dll | 1 | C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_d0b39b11619fd0c4\igd12umd64.dll | C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_d0b39b11619fd0c4\igdgmm64.dll
577 | dynamic | DLL | 1 | C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_d0b39b11619fd0c4\igdgmm64.dll | C:\Windows\System32\IPHLPAPI.DLL
578 | dynamic | dll | 1 | C:\Windows\System32\cfgmgr32.dll | C:\Windows\System32\combase.dll
579 | dynamic | dll | 1 | C:\Windows\System32\crypt32.dll | C:\Windows\System32\cryptsp.dll
580 | dynamic | dll | 1 | C:\Windows\System32\cryptsp.dll | C:\Windows\System32\d3d10warp.dll
581 | dynamic | dll | 1 | C:\Windows\System32\d3d10warp.dll | C:\Windows\System32\d3d11.dll
582 | dynamic | dll | 1 | C:\Windows\System32\dpapi.dll | C:\Windows\System32\dxgi.dll
583 | dynamic | dll | 1 | C:\Windows\System32\dxgi.dll | C:\Windows\System32\gdi32.dll
584 | dynamic | dll | 1 | C:\Windows\System32\oleaut32.dll | C:\Windows\System32\profapi.dll
585 | dynamic | dll | 1 | C:\Windows\System32\profext.dll | C:\Windows\System32\rpcrt4.dll
586 | dynamic | tmp | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\optimization_guide_model_store\30\E6DC4029A1E4B4C1\1EBAF634ED79AC48\model.tflite | C:\Users\SacraSystemsWS12\AppData\Local\Temp\b6f3edc3-7d06-4df3-8083-9402bbef8f19.tmp
587 | dynamic | ttf | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Temp\b6f3edc3-7d06-4df3-8083-9402bbef8f19.tmp | C:\Windows\Fonts\arial.ttf
588 | dynamic | tmp | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\optimization_guide_model_store\30\E6DC4029A1E4B4C1\1EBAF634ED79AC48\model.tflite | C:\Users\SacraSystemsWS12\AppData\Local\Temp\3cfe4de1-3c6e-4997-a5a0-5e92a4235b9b.tmp
589 | dynamic | ttf | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Temp\3cfe4de1-3c6e-4997-a5a0-5e92a4235b9b.tmp | C:\Windows\Fonts\arial.ttf
590 | dynamic | tmp | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\optimization_guide_model_store\30\E6DC4029A1E4B4C1\1EBAF634ED79AC48\model.tflite | C:\Users\SacraSystemsWS12\AppData\Local\Temp\a0897d7d-8dc9-4e93-8dbf-731cdeddf4b2.tmp
591 | dynamic | ttf | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Temp\a0897d7d-8dc9-4e93-8dbf-731cdeddf4b2.tmp | C:\Windows\Fonts\arial.ttf
592 | dynamic | tmp | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\optimization_guide_model_store\30\E6DC4029A1E4B4C1\1EBAF634ED79AC48\model.tflite | C:\Users\SacraSystemsWS12\AppData\Local\Temp\50bc9f87-3b63-456c-a9fd-8fd13ea030ce.tmp
593 | dynamic | nls | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Temp\50bc9f87-3b63-456c-a9fd-8fd13ea030ce.tmp | C:\Windows\Globalization\Sorting\SortDefault.nls
